commentary,Player,Team
Delay in match Marouane Fellaini (Manchester United) because of an injury.,,
Marouane Fellaini (Manchester United) wins a free kick in the defensive half.,,
Foul by Shane Long (Southampton).,,
"Attempt missed. Eric Bailly (Manchester United) header from the centre of the box is close, but misses to the right. Assisted by Juan Mata with a cross following a corner.",,
"Corner,  Manchester United. Conceded by Maya Yoshida.",,
Attempt blocked. Nathan Redmond (Southampton) right footed shot from outside the box is blocked. Assisted by Shane Long.,,
"Attempt missed. Marcus Rashford (Manchester United) right footed shot from outside the box is close, but misses to the left from a direct free kick.",,
Juan Mata (Manchester United) wins a free kick in the attacking half.,,
Foul by Maya Yoshida (Southampton).,,
Attempt missed. Ryan Bertrand (Southampton) left footed shot from outside the box misses to the right.,,
Attempt saved. Mario Lemina (Southampton) right footed shot from outside the box is saved in the centre of the goal. Assisted by Shane Long.,,
Mario Lemina (Southampton) wins a free kick in the defensive half.,,
Foul by Romelu Lukaku (Manchester United).,,
Foul by Shane Long (Southampton).,,
Eric Bailly (Manchester United) wins a free kick in the defensive half.,,
"Goal!  Southampton 0, Manchester United 1. Romelu Lukaku (Manchester United) left footed shot from very close range to the centre of the goal.",,
Attempt saved. Romelu Lukaku (Manchester United) header from the centre of the box is saved in the centre of the goal. Assisted by Ashley Young with a cross.,,
"Offside, Southampton. Maya Yoshida tries a through ball, but Steven Davis is caught offside.",,
"Offside, Southampton. Dusan Tadic tries a through ball, but Shane Long is caught offside.",,
Shane Long (Southampton) wins a free kick in the attacking half.,,
Foul by Marouane Fellaini (Manchester United).,,
Wesley Hoedt (Southampton) wins a free kick in the defensive half.,,
Foul by Marouane Fellaini (Manchester United).,,
"Corner,  Manchester United. Conceded by Cédric Soares.",,
Attempt blocked. Marcus Rashford (Manchester United) right footed shot from the left side of the box is blocked. Assisted by Henrikh Mkhitaryan.,,
Attempt missed. Nathan Redmond (Southampton) left footed shot from the centre of the box misses to the left following a corner.,,
"Corner,  Southampton. Conceded by Ashley Young.",,
"Offside, Southampton. Fraser Forster tries a through ball, but Shane Long is caught offside.",,
"Offside, Manchester United. Eric Bailly tries a through ball, but Nemanja Matic is caught offside.",,
"Corner,  Manchester United. Conceded by Oriol Romeu.",,
Attempt saved. Henrikh Mkhitaryan (Manchester United) left footed shot from outside the box is saved in the bottom left corner.,,
Marcus Rashford (Manchester United) wins a free kick in the attacking half.,,
Foul by Cédric Soares (Southampton).,,
"Match ends, Stoke City 0, Chelsea 4.",,
"Second Half ends, Stoke City 0, Chelsea 4.",,
Peter Crouch (Stoke City) is shown the yellow card for a bad foul.,,
Foul by Peter Crouch (Stoke City).,,
Cesc Fàbregas (Chelsea) wins a free kick in the attacking half.,,
Attempt missed. Victor Moses (Chelsea) right footed shot from the right side of the box misses to the left. Assisted by N'Golo Kanté.,,
"Attempt missed. Álvaro Morata (Chelsea) right footed shot from the centre of the box is close, but misses to the right. Assisted by Cesc Fàbregas.",,
"Goal!  Stoke City 0, Chelsea 4. Álvaro Morata (Chelsea) right footed shot from very close range to the bottom right corner. Assisted by César Azpilicueta.",,
Attempt missed. Eric Maxim Choupo-Moting (Stoke City) right footed shot from the left side of the box misses to the right. Assisted by Ramadan Sobhi.,,
Peter Crouch (Stoke City) wins a free kick on the left wing.,,
Foul by Victor Moses (Chelsea).,,
Attempt missed. Eden Hazard (Chelsea) right footed shot from a difficult angle on the right misses to the left. Assisted by Victor Moses.,,
"Goal!  Stoke City 0, Chelsea 3. Álvaro Morata (Chelsea) right footed shot from the left side of the six yard box to the centre of the goal. Assisted by Tiemoué Bakayoko.",,
"Substitution, Stoke City. Ibrahim Afellay replaces Bruno Martins Indi.",,
Glen Johnson (Stoke City) wins a free kick on the right wing.,,
Foul by Tiemoué Bakayoko (Chelsea).,,
Attempt saved. Eric Maxim Choupo-Moting (Stoke City) header from the centre of the box is saved in the top right corner. Assisted by Xherdan Shaqiri with a cross.,,
Foul by Antonio Rüdiger (Chelsea).,,
Eric Maxim Choupo-Moting (Stoke City) wins a free kick in the attacking half.,,
"Substitution, Chelsea. Eden Hazard replaces Willian.",,
"Attempt missed. Mame Biram Diouf (Stoke City) right footed shot from the right side of the six yard box is close, but misses to the right following a set piece situation.",,
Glen Johnson (Stoke City) wins a free kick on the right wing.,,
Foul by Cesc Fàbregas (Chelsea).,,
"Offside, Chelsea. Thibaut Courtois tries a through ball, but Álvaro Morata is caught offside.",,
"Substitution, Chelsea. Cesc Fàbregas replaces Pedro.",,
Delay over. They are ready to continue.,,
Delay in match Thibaut Courtois (Chelsea) because of an injury.,,
"Corner,  Stoke City. Conceded by Tiemoué Bakayoko.",,
Attempt missed. Eric Maxim Choupo-Moting (Stoke City) left footed shot from the left side of the box misses to the right.,,
"Attempt missed. Mame Biram Diouf (Stoke City) right footed shot from the right side of the six yard box is close, but misses the top right corner. Assisted by Peter Crouch with a headed pass.",,
"Substitution, Stoke City. Peter Crouch replaces Jesé.",,
Attempt saved. Xherdan Shaqiri (Stoke City) left footed shot from outside the box is saved in the centre of the goal. Assisted by Bruno Martins Indi.,,
Hand ball by N'Golo Kanté (Chelsea).,,
"Substitution, Chelsea. Gary Cahill replaces Marcos Alonso.",,
N'Golo Kanté (Chelsea) is shown the yellow card for a bad foul.,,
Ramadan Sobhi (Stoke City) wins a free kick in the defensive half.,,
Foul by N'Golo Kanté (Chelsea).,,
Attempt blocked. Joe Allen (Stoke City) right footed shot from outside the box is blocked.,,
Attempt missed. Joe Allen (Stoke City) right footed shot from the centre of the box is too high following a set piece situation.,,
Mame Biram Diouf (Stoke City) wins a free kick on the right wing.,,
Foul by Marcos Alonso (Chelsea).,,
Marcos Alonso (Chelsea) is shown the yellow card for a bad foul.,,
Joe Allen (Stoke City) wins a free kick in the defensive half.,,
Foul by Marcos Alonso (Chelsea).,,
Xherdan Shaqiri (Stoke City) is shown the yellow card.,,
Foul by Xherdan Shaqiri (Stoke City).,,
Andreas Christensen (Chelsea) wins a free kick in the defensive half.,,
"Second Half begins Stoke City 0, Chelsea 2.",,
"First Half ends, Stoke City 0, Chelsea 2.",,
Attempt missed. Joe Allen (Stoke City) right footed shot from outside the box is high and wide to the right.,,
Attempt missed. Mame Biram Diouf (Stoke City) right footed shot from the centre of the box misses to the left. Assisted by Joe Allen with a cross.,,
Attempt blocked. Darren Fletcher (Stoke City) left footed shot from outside the box is blocked.,,
"Corner,  Stoke City. Conceded by Antonio Rüdiger.",,
Ramadan Sobhi (Stoke City) wins a free kick on the left wing.,,
Foul by Victor Moses (Chelsea).,,
"Corner,  Stoke City. Conceded by Andreas Christensen.",,
"Corner,  Stoke City. Conceded by Álvaro Morata.",,
Attempt blocked. Xherdan Shaqiri (Stoke City) left footed shot from outside the box is blocked.,,
Joe Allen (Stoke City) wins a free kick in the attacking half.,,
Foul by Tiemoué Bakayoko (Chelsea).,,
"Goal!  Stoke City 0, Chelsea 2. Pedro (Chelsea) right footed shot from outside the box to the bottom left corner.",,
Álvaro Morata (Chelsea) wins a free kick in the defensive half.,,
Foul by Joe Allen (Stoke City).,,
Ramadan Sobhi (Stoke City) wins a free kick in the defensive half.,,
Foul by Álvaro Morata (Chelsea).,,
Tiemoué Bakayoko (Chelsea) wins a free kick in the defensive half.,,
Foul by Joe Allen (Stoke City).,,
Foul by Willian (Chelsea).,,
Bruno Martins Indi (Stoke City) wins a free kick in the defensive half.,,
Attempt blocked. Xherdan Shaqiri (Stoke City) left footed shot from outside the box is blocked. Assisted by Joe Allen.,,
Foul by Álvaro Morata (Chelsea).,,
Erik Pieters (Stoke City) wins a free kick in the defensive half.,,
Marcos Alonso (Chelsea) wins a free kick on the left wing.,,
Foul by Mame Biram Diouf (Stoke City).,,
"Corner,  Stoke City. Conceded by Marcos Alonso.",,
Foul by Álvaro Morata (Chelsea).,,
Bruno Martins Indi (Stoke City) wins a free kick in the defensive half.,,
"Goal!  Stoke City 0, Chelsea 1. Álvaro Morata (Chelsea) right footed shot from the left side of the box to the bottom right corner. Assisted by César Azpilicueta with a through ball.",,
"Match ends, Swansea City 1, Watford 2.",,
"Second Half ends, Swansea City 1, Watford 2.",,
Hand ball by Kyle Naughton (Swansea City).,,
Tammy Abraham (Swansea City) wins a free kick in the attacking half.,,
Foul by Christian Kabasele (Watford).,,
Richarlison (Watford) is shown the yellow card for excessive celebration.,,
"Goal!  Swansea City 1, Watford 2. Richarlison (Watford) right footed shot from the centre of the box to the high centre of the goal. Assisted by Troy Deeney.",,
Leroy Fer (Swansea City) wins a free kick in the defensive half.,,
Foul by Roberto Pereyra (Watford).,,
Attempt saved. Troy Deeney (Watford) right footed shot from the centre of the box is saved in the bottom right corner. Assisted by Abdoulaye Doucouré.,,
"Substitution, Watford. Troy Deeney replaces Andre Gray.",,
"Substitution, Swansea City. Renato Sanches replaces Wilfried Bony.",,
"Corner,  Watford. Conceded by Alfie Mawson.",,
Wilfried Bony (Swansea City) is shown the yellow card for a bad foul.,,
José Holebas (Watford) wins a free kick on the left wing.,,
Foul by Wilfried Bony (Swansea City).,,
Attempt saved. Alfie Mawson (Swansea City) header from the centre of the box is saved in the bottom right corner. Assisted by Roque Mesa.,,
Attempt blocked. Tom Carroll (Swansea City) left footed shot from outside the box is blocked.,,
Tammy Abraham (Swansea City) wins a free kick in the attacking half.,,
Foul by Adrian Mariappa (Watford).,,
Richarlison (Watford) wins a free kick on the left wing.,,
Foul by Kyle Naughton (Swansea City).,,
"Offside, Watford. Tom Cleverley tries a through ball, but Kiko Femenía is caught offside.",,
"Corner,  Watford. Conceded by Federico Fernández.",,
"Substitution, Watford. Roberto Pereyra replaces André Carrillo.",,
Kyle Naughton (Swansea City) wins a free kick in the defensive half.,,
Foul by Richarlison (Watford).,,
Jordan Ayew (Swansea City) wins a free kick on the right wing.,,
Foul by Christian Kabasele (Watford).,,
Kiko Femenía (Watford) wins a free kick in the defensive half.,,
Foul by Martin Olsson (Swansea City).,,
"Corner,  Swansea City. Conceded by Abdoulaye Doucouré.",,
"Corner,  Swansea City. Conceded by Molla Wagué.",,
Delay over. They are ready to continue.,,
Delay in match Christian Kabasele (Watford) because of an injury.,,
"Goal!  Swansea City 1, Watford 1. Tammy Abraham (Swansea City) right footed shot from very close range to the bottom right corner.",,
Attempt saved. Wilfried Bony (Swansea City) left footed shot from the centre of the box is saved in the bottom right corner.,,
Attempt missed. Leroy Fer (Swansea City) header from the centre of the box is high and wide to the right. Assisted by Tom Carroll with a cross following a corner.,,
"Corner,  Swansea City. Conceded by Kiko Femenía.",,
Jordan Ayew (Swansea City) wins a free kick in the attacking half.,,
Foul by Adrian Mariappa (Watford).,,
Delay over. They are ready to continue.,,
Delay in match Richarlison (Watford) because of an injury.,,
Foul by Jordan Ayew (Swansea City).,,
Abdoulaye Doucouré (Watford) wins a free kick on the left wing.,,
Jordan Ayew (Swansea City) wins a free kick in the attacking half.,,
Foul by Abdoulaye Doucouré (Watford).,,
"Substitution, Watford. Molla Wagué replaces Etienne Capoue.",,
"Substitution, Swansea City. Tammy Abraham replaces Mike van der Hoorn.",,
"Substitution, Swansea City. Roque Mesa replaces Sam Clucas.",,
"Second Half begins Swansea City 0, Watford 1.",,
"First Half ends, Swansea City 0, Watford 1.",,
"Corner,  Swansea City. Conceded by Christian Kabasele.",,
Abdoulaye Doucouré (Watford) is shown the yellow card for a bad foul.,,
Leroy Fer (Swansea City) wins a free kick in the attacking half.,,
Foul by Abdoulaye Doucouré (Watford).,,
"Offside, Watford. Etienne Capoue tries a through ball, but Richarlison is caught offside.",,
"Corner,  Watford. Conceded by Sam Clucas.",,
"Attempt missed. Wilfried Bony (Swansea City) header from the centre of the box is close, but misses to the left following a set piece situation.",,
Wilfried Bony (Swansea City) wins a free kick in the attacking half.,,
Foul by Christian Kabasele (Watford).,,
Attempt blocked. Tom Carroll (Swansea City) left footed shot from outside the box is blocked. Assisted by Leroy Fer.,,
Attempt missed. Andre Gray (Watford) right footed shot from a difficult angle on the right misses to the left.,,
Attempt blocked. Tom Cleverley (Watford) right footed shot from outside the box is blocked.,,
Attempt blocked. Wilfried Bony (Swansea City) right footed shot from the centre of the box is blocked. Assisted by Martin Olsson with a cross.,,
Jordan Ayew (Swansea City) wins a free kick in the attacking half.,,
Foul by Tom Cleverley (Watford).,,
Richarlison (Watford) wins a free kick in the defensive half.,,
Foul by Leroy Fer (Swansea City).,,
Etienne Capoue (Watford) is shown the yellow card for a bad foul.,,
Leroy Fer (Swansea City) wins a free kick in the attacking half.,,
Foul by Etienne Capoue (Watford).,,
"Offside, Watford. Richarlison tries a through ball, but André Carrillo is caught offside.",,
Attempt saved. Kiko Femenía (Watford) right footed shot from outside the box is saved in the bottom left corner.,,
Richarlison (Watford) wins a free kick in the attacking half.,,
Foul by Mike van der Hoorn (Swansea City).,,
Jordan Ayew (Swansea City) wins a free kick in the attacking half.,,
Foul by Abdoulaye Doucouré (Watford).,,
Leroy Fer (Swansea City) wins a free kick in the attacking half.,,
Foul by Tom Cleverley (Watford).,,
Attempt missed. Wilfried Bony (Swansea City) header from the centre of the box misses to the right. Assisted by Tom Carroll with a cross following a set piece situation.,,
Jordan Ayew (Swansea City) wins a free kick in the attacking half.,,
Foul by Etienne Capoue (Watford).,,
Mike van der Hoorn (Swansea City) wins a free kick in the defensive half.,,
Dangerous play by Tom Cleverley (Watford).,,
"Attempt missed. Etienne Capoue (Watford) right footed shot from outside the box is close, but misses to the right. Assisted by Richarlison.",,
Foul by Federico Fernández (Swansea City).,,
Adrian Mariappa (Watford) wins a free kick in the defensive half.,,
"Corner,  Swansea City. Conceded by Heurelho Gomes.",,
Attempt blocked. Leroy Fer (Swansea City) header from the centre of the box is blocked. Assisted by Tom Carroll with a cross.,,
"Corner,  Swansea City. Conceded by Christian Kabasele.",,
"Goal!  Swansea City 0, Watford 1. Andre Gray (Watford) right footed shot from the centre of the box to the top right corner.",,
Jordan Ayew (Swansea City) wins a free kick in the defensive half.,,
Foul by Tom Cleverley (Watford).,,
"Corner,  Watford. Conceded by Mike van der Hoorn.",,
Attempt blocked. Andre Gray (Watford) right footed shot from the centre of the box is blocked. Assisted by Kiko Femenía with a cross.,,
Foul by Sam Clucas (Swansea City).,,
Etienne Capoue (Watford) wins a free kick in the attacking half.,,
Wilfried Bony (Swansea City) Yellow Card at 82',,
"Substitution, Watford. Roberto Pereyra replaces André Carrillo.",,
"Goal!  Swansea City 1, Watford 1. Tammy Abraham (Swansea City) right footed shot from very close range to the bottom right corner.",,
"First Half ends, Swansea City 0, Watford 1.",,
Abdoulaye Doucouré (Watford) is shown the yellow card for a bad foul.,,
Start 2nd Half,,
"Substitution, Watford. Molla Wagué replaces Etienne Capoue.",,
"Substitution, Swansea City. Roque Mesa replaces Sam Clucas.",,
"Substitution, Swansea City. Tammy Abraham replaces Mike van der Hoorn.",,
Etienne Capoue (Watford) is shown the yellow card for a bad foul.,,
"Goal!  Swansea City 0, Watford 1. Andre Gray (Watford) right footed shot from the centre of the box to the top right corner.",,
"Match ends, West Ham United 2, Tottenham Hotspur 3.",,
"Second Half ends, West Ham United 2, Tottenham Hotspur 3.",,
Winston Reid (West Ham United) wins a free kick in the defensive half.,,
Foul by Fernando Llorente (Tottenham Hotspur).,,
Eric Dier (Tottenham Hotspur) is shown the yellow card.,,
Andy Carroll (West Ham United) is shown the yellow card.,,
Fernando Llorente (Tottenham Hotspur) is shown the yellow card.,,
Winston Reid (West Ham United) is shown the yellow card.,,
Foul by Andy Carroll (West Ham United).,,
Fernando Llorente (Tottenham Hotspur) wins a free kick in the defensive half.,,
Attempt missed. Ben Davies (Tottenham Hotspur) left footed shot from the left side of the box misses to the right. Assisted by Dele Alli.,,
André Ayew (West Ham United) is shown the yellow card for a bad foul.,,
Foul by André Ayew (West Ham United).,,
Ben Davies (Tottenham Hotspur) wins a free kick in the attacking half.,,
Attempt missed. Mark Noble (West Ham United) right footed shot from outside the box is high and wide to the right. Assisted by Andy Carroll with a headed pass following a corner.,,
"Corner,  West Ham United. Conceded by Hugo Lloris.",,
Attempt blocked. Andy Carroll (West Ham United) left footed shot from outside the box is blocked. Assisted by Angelo Ogbonna with a headed pass.,,
Foul by Kieran Trippier (Tottenham Hotspur).,,
Chicharito (West Ham United) wins a free kick in the defensive half.,,
Attempt missed. Winston Reid (West Ham United) right footed shot from the right side of the box is high and wide to the right following a corner.,,
"Corner,  West Ham United. Conceded by Kieran Trippier.",,
"Substitution, Tottenham Hotspur. Fernando Llorente replaces Harry Kane.",,
"Goal!  West Ham United 2, Tottenham Hotspur 3. Cheikhou Kouyaté (West Ham United) header from the centre of the box to the high centre of the goal. Assisted by Arthur Masuaku with a cross.",,
Foul by Ben Davies (Tottenham Hotspur).,,
André Ayew (West Ham United) wins a free kick in the attacking half.,,
Foul by Andy Carroll (West Ham United).,,
Ben Davies (Tottenham Hotspur) wins a free kick in the defensive half.,,
Chicharito (West Ham United) is shown the yellow card.,,
Foul by Chicharito (West Ham United).,,
Eric Dier (Tottenham Hotspur) wins a free kick in the attacking half.,,
Attempt blocked. Harry Kane (Tottenham Hotspur) right footed shot from outside the box is blocked.,,
Foul by Cheikhou Kouyaté (West Ham United).,,
Dele Alli (Tottenham Hotspur) wins a free kick in the attacking half.,,
Attempt saved. Chicharito (West Ham United) right footed shot from the centre of the box is saved in the top centre of the goal.,,
"Substitution, Tottenham Hotspur. Kieran Trippier replaces Moussa Sissoko.",,
Attempt missed. Andy Carroll (West Ham United) left footed shot from the right side of the box misses to the right. Assisted by Pablo Zabaleta.,,
Foul by Arthur Masuaku (West Ham United).,,
Ben Davies (Tottenham Hotspur) wins a free kick in the attacking half.,,
Foul by Harry Kane (Tottenham Hotspur).,,
Angelo Ogbonna (West Ham United) wins a free kick in the defensive half.,,
"Substitution, West Ham United. Arthur Masuaku replaces José Fonte.",,
"Substitution, Tottenham Hotspur. Harry Winks replaces Christian Eriksen.",,
Attempt missed. Andy Carroll (West Ham United) left footed shot from outside the box is high and wide to the left. Assisted by Chicharito.,,
Second yellow card to Serge Aurier (Tottenham Hotspur) for a bad foul.,,
Foul by Serge Aurier (Tottenham Hotspur).,,
Andy Carroll (West Ham United) wins a free kick in the defensive half.,,
Mark Noble (West Ham United) wins a free kick in the defensive half.,,
Foul by Moussa Sissoko (Tottenham Hotspur).,,
Attempt saved. Chicharito (West Ham United) header from the centre of the box is saved in the centre of the goal. Assisted by Mark Noble with a cross.,,
"Substitution, West Ham United. André Ayew replaces Marko Arnautovic.",,
"Goal!  West Ham United 1, Tottenham Hotspur 3. Chicharito (West Ham United) header from very close range to the bottom left corner. Assisted by José Fonte with a headed pass following a corner.",,
"Corner,  West Ham United. Conceded by Davinson Sánchez.",,
Serge Aurier (Tottenham Hotspur) is shown the yellow card.,,
Foul by Serge Aurier (Tottenham Hotspur).,,
Andy Carroll (West Ham United) wins a free kick in the attacking half.,,
Attempt missed. Dele Alli (Tottenham Hotspur) right footed shot from outside the box is high and wide to the right. Assisted by Ben Davies.,,
"Corner,  Tottenham Hotspur. Conceded by Joe Hart.",,
Harry Kane (Tottenham Hotspur) hits the left post with a left footed shot from the left side of the box.,,
"Goal!  West Ham United 0, Tottenham Hotspur 3. Christian Eriksen (Tottenham Hotspur) right footed shot from the centre of the box to the bottom right corner following a set piece situation.",,
Harry Kane (Tottenham Hotspur) hits the right post with a right footed shot from long range on the left from a direct free kick.,,
Foul by José Fonte (West Ham United).,,
Dele Alli (Tottenham Hotspur) wins a free kick on the left wing.,,
"Offside, West Ham United. Winston Reid tries a through ball, but Andy Carroll is caught offside.",,
"Offside, Tottenham Hotspur. Eric Dier tries a through ball, but Harry Kane is caught offside.",,
Serge Aurier (Tottenham Hotspur) wins a free kick in the defensive half.,,
Foul by Aaron Cresswell (West Ham United).,,
Foul by Moussa Sissoko (Tottenham Hotspur).,,
Cheikhou Kouyaté (West Ham United) wins a free kick in the defensive half.,,
Foul by Christian Eriksen (Tottenham Hotspur).,,
Cheikhou Kouyaté (West Ham United) wins a free kick in the defensive half.,,
José Fonte (West Ham United) wins a free kick in the defensive half.,,
Foul by Christian Eriksen (Tottenham Hotspur).,,
"Offside, Tottenham Hotspur. Dele Alli tries a through ball, but Harry Kane is caught offside.",,
Mark Noble (West Ham United) wins a free kick on the right wing.,,
Foul by Christian Eriksen (Tottenham Hotspur).,,
"Corner,  West Ham United. Conceded by Moussa Sissoko.",,
Marko Arnautovic (West Ham United) wins a free kick in the defensive half.,,
Foul by Ben Davies (Tottenham Hotspur).,,
"Second Half begins West Ham United 0, Tottenham Hotspur 2.",,
"First Half ends, West Ham United 0, Tottenham Hotspur 2.",,
José Fonte (West Ham United) wins a free kick on the right wing.,,
Foul by Eric Dier (Tottenham Hotspur).,,
"Offside, Tottenham Hotspur. Dele Alli tries a through ball, but Harry Kane is caught offside.",,
Attempt missed. Harry Kane (Tottenham Hotspur) right footed shot from a difficult angle and long range on the left misses to the right. Assisted by Christian Eriksen.,,
"Offside, West Ham United. Andy Carroll tries a through ball, but Cheikhou Kouyaté is caught offside.",,
Foul by Jan Vertonghen (Tottenham Hotspur).,,
Chicharito (West Ham United) wins a free kick on the right wing.,,
"Goal!  West Ham United 0, Tottenham Hotspur 2. Harry Kane (Tottenham Hotspur) left footed shot from the centre of the box to the centre of the goal.",,
Attempt saved. Dele Alli (Tottenham Hotspur) right footed shot from the left side of the box is saved in the centre of the goal. Assisted by Jan Vertonghen.,,
"Offside, Tottenham Hotspur. Serge Aurier tries a through ball, but Harry Kane is caught offside.",,
"Goal!  West Ham United 0, Tottenham Hotspur 1. Harry Kane (Tottenham Hotspur) header from very close range to the bottom left corner. Assisted by Dele Alli with a cross.",,
Foul by Moussa Sissoko (Tottenham Hotspur).,,
Chicharito (West Ham United) wins a free kick in the attacking half.,,
Attempt blocked. Harry Kane (Tottenham Hotspur) right footed shot from outside the box is blocked. Assisted by Christian Eriksen.,,
Serge Aurier (Tottenham Hotspur) wins a free kick in the defensive half.,,
Foul by Marko Arnautovic (West Ham United).,,
Foul by Davinson Sánchez (Tottenham Hotspur).,,
Andy Carroll (West Ham United) wins a free kick on the left wing.,,
"Substitution, West Ham United. Andy Carroll replaces Michail Antonio because of an injury.",,
Delay over. They are ready to continue.,,
Delay in match Michail Antonio (West Ham United) because of an injury.,,
"Offside, West Ham United. Joe Hart tries a through ball, but Chicharito is caught offside.",,
"Offside, Tottenham Hotspur. Serge Aurier tries a through ball, but Harry Kane is caught offside.",,
Attempt missed. Toby Alderweireld (Tottenham Hotspur) right footed shot from outside the box misses to the right. Assisted by Eric Dier.,,
Attempt blocked. Eric Dier (Tottenham Hotspur) right footed shot from outside the box is blocked. Assisted by Christian Eriksen.,,
Foul by Serge Aurier (Tottenham Hotspur).,,
Cheikhou Kouyaté (West Ham United) wins a free kick on the left wing.,,
Attempt missed. Ben Davies (Tottenham Hotspur) left footed shot from outside the box misses to the left following a corner.,,
"Corner,  Tottenham Hotspur. Conceded by Angelo Ogbonna.",,
"Offside, West Ham United. Pablo Zabaleta tries a through ball, but Chicharito is caught offside.",,
Winston Reid (West Ham United) wins a free kick in the defensive half.,,
Foul by Davinson Sánchez (Tottenham Hotspur).,,
"Corner,  Tottenham Hotspur. Conceded by Joe Hart.",,
Attempt saved. Christian Eriksen (Tottenham Hotspur) right footed shot from outside the box is saved in the top centre of the goal. Assisted by Moussa Sissoko.,,
"Offside, West Ham United. Winston Reid tries a through ball, but Chicharito is caught offside.",,
Foul by Eric Dier (Tottenham Hotspur).,,
Chicharito (West Ham United) wins a free kick in the attacking half.,,
Attempt missed. Chicharito (West Ham United) right footed shot from outside the box is just a bit too high. Assisted by Michail Antonio.,,
Foul by Serge Aurier (Tottenham Hotspur).,,
Aaron Cresswell (West Ham United) wins a free kick in the attacking half.,,
Harry Kane (Tottenham Hotspur) wins a free kick in the defensive half.,,
Foul by Mark Noble (West Ham United).,,
"Offside, West Ham United. Mark Noble tries a through ball, but Chicharito is caught offside.",,
"Thats all. Game finished -  Bournemouth 0, Leicester City 0.",,
"Second Half ended - Bournemouth 0, Leicester City 0.",,
Ryan Fraser  - Bournemouth -  won a free kick in defence.,,
Fouled by Riyad Mahrez  - Leicester City,,
Corner -  Leicester City. Conceded by Nathan Aké.,,
Shot blocked. Lewis Cook  - Bournemouth -  shot with right foot from outside the box is blocked.,,
Corner -  Bournemouth. Conceded by Danny Simpson.,,
Shot blocked. Ryan Fraser  - Bournemouth -  shot with right foot from the left side of the box is blocked. Assist -  Joshua King.,,
Delay over. They are ready to continue.,,
Delay in match Wilfred Ndidi  - Leicester City -   - injury.,,
Wilfred Ndidi  - Leicester City -  won a free kick in defence.,,
Fouled by Andrew Surman  - Bournemouth,,
Missed chance. Jamie Vardy  - Leicester City -  shot with left foot from outside the box missed to the left.,,
Substitution -  Bournemouth. Ryan Fraser for Junior Stanislas.,,
New attacking attempt. Andrew Surman  - Bournemouth -  shot with left foot from outside the box is saved in the left corner. Assist -  Adam Smith.,,
"Offside - Bournemouth. Junior Stanislas with a pass, however Benik Afobe is in offside.",,
Shot blocked. Riyad Mahrez  - Leicester City -  shot with left foot from outside the box is blocked.,,
Corner -  Leicester City. Conceded by Adam Smith.,,
Substitution -  Bournemouth. Benik Afobe for Jermain Defoe.,,
Corner -  Leicester City. Conceded by Nathan Aké.,,
Shot blocked. Wilfred Ndidi  - Leicester City -  shot with right foot from outside the box is blocked.,,
New attacking attempt. Demarai Gray  - Leicester City -  shot with right foot from outside the box is saved in the top centre of the goal. Assist -  Jamie Vardy.,,
Corner -  Bournemouth. Conceded by Wes Morgan.,,
Corner -  Bournemouth. Conceded by Kasper Schmeichel.,,
New attacking attempt. Junior Stanislas  - Bournemouth -  shot with right foot from the left side of the box is saved in the top left corner. Assist -  Charlie Daniels.,,
Substitution -  Leicester City. Riyad Mahrez for Marc Albrighton.,,
Fouled by Marc Albrighton  - Leicester City,,
Charlie Daniels  - Bournemouth -  won a free kick in attack.,,
Corner -  Bournemouth. Conceded by Danny Simpson.,,
Shot blocked. Joshua King  - Bournemouth -  shot with left foot from the centre of the box is blocked. Assist -  Jermain Defoe.,,
"Missed chance. Andrew Surman  - Bournemouth -  shot with left foot from outside the box is close, but missed. Assist -  Joshua King.",,
"Offside - Leicester City. Kelechi Iheanacho with a pass, however Jamie Vardy is in offside.",,
Missed chance. Jermain Defoe  - Bournemouth -  shot with right foot from the centre of the box goes high. Assist -  Lewis Cook.,,
Shot blocked. Lewis Cook  - Bournemouth -  shot with right foot from outside the box is blocked. Assist -  Jordon Ibe.,,
Substitution -  Bournemouth. Jordon Ibe for Marc Pugh.,,
Substitution -  Leicester City. Kelechi Iheanacho for Shinji Okazaki.,,
Missed chance. Marc Pugh  - Bournemouth -  shot with right foot from the left side of the box is high and wide to the right. Assist -  Charlie Daniels.,,
Fouled by Wilfred Ndidi  - Leicester City,,
Adam Smith  - Bournemouth -  won a free kick in defence.,,
Missed chance. Demarai Gray  - Leicester City -  shot with right foot from outside the box goes high. Assist -  Shinji Okazaki.,,
"Missed chance. Marc Pugh  - Bournemouth -  shot with right foot from outside the box is close, but missed to the left. Assist -  Joshua King.",,
"Offside - Leicester City. Wilfred Ndidi with a pass, however Jamie Vardy is in offside.",,
"Missed chance. Shinji Okazaki  - Leicester City -  shot with right foot from the centre of the box is close, but missed.",,
New attacking attempt. Junior Stanislas  - Bournemouth -  shot with right foot from outside the box is saved in the left corner. Assist -  Adam Smith.,,
Joshua King  - Bournemouth -  won a free kick on the left wing.,,
Fouled by Wes Morgan  - Leicester City,,
New attacking attempt. Joshua King  - Bournemouth -  shot with right foot from outside the box is saved in the left corner. Assist -  Jermain Defoe.,,
Fouled by Simon Francis  - Bournemouth,,
Demarai Gray  - Leicester City -  won a free kick in defence.,,
Corner -  Bournemouth. Conceded by Vicente Iborra.,,
